# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE
     0.600,     0.600,     0.900,     1.300,     0.916,      0.96,     0.921,     0.759,     0.795,     0.843,     0.408,     0.949,     0.885,     0.277,     1.029
     0.600,     0.750,     0.750,     1.500,     0.966,      0.71,     0.814,     0.804,     0.867,     0.781,     0.627,     0.995,     0.802,     0.398,     0.765
     0.600,     0.750,     0.800,     1.500,     0.979,     0.683,      0.86,     0.788,     0.877,     0.829,     0.548,     0.968,     0.951,      0.35,      0.84
     0.600,     0.750,     0.950,     1.450,     0.986,     0.949,     0.891,     0.846,     0.898,     0.845,     0.425,     0.799,     0.633,     0.411,     0.925
     0.600,     0.750,     0.950,     1.500,     0.994,     0.866,     0.938,     0.837,     0.886,     0.853,     0.423,      0.85,     0.754,     0.166,     1.195
     0.600,     0.800,     0.700,     1.450,     0.838,     0.763,     0.751,     0.791,     0.859,     0.731,      0.46,     0.961,     0.709,     0.094,     1.479
     0.600,     0.850,     0.900,     1.500,     0.852,     0.821,     0.893,     0.811,     0.845,      0.86,     0.338,     0.609,     0.814,     0.065,     1.645
     0.650,     0.650,     0.750,     1.400,     0.894,     0.793,     0.752,     0.792,     0.731,     0.705,     0.425,      0.83,     0.721,     0.253,     1.314
     0.650,     0.650,     0.900,     1.500,     0.943,     0.706,     0.768,     0.837,     0.859,     0.863,      0.56,     0.926,     0.999,     0.221,     1.015
     0.650,     0.700,     0.900,     1.100,     0.856,     0.486,     0.854,     0.824,     0.881,      0.83,     0.421,     0.744,     0.675,     0.113,     1.673
     0.650,     0.800,     0.700,     1.350,     0.829,     0.984,     0.736,     0.827,     0.871,     0.739,     0.453,     0.828,     0.716,     0.103,     1.428
     0.650,     0.900,     0.700,     1.600,     0.862,     0.649,      0.73,     0.829,     0.829,     0.812,     0.546,     0.627,     0.837,     0.123,      1.45
     0.650,     0.950,     0.650,     1.500,     0.834,     0.819,     0.788,     0.812,     0.831,     0.828,     0.369,     0.586,     0.828,     0.158,     1.507
     0.700,     0.650,     0.750,     1.550,     0.973,     0.698,     0.803,     0.833,     0.749,     0.718,     0.382,     0.723,      0.71,     0.388,     1.218
     0.700,     0.650,     0.950,     1.450,     0.962,     0.876,      0.88,     0.822,     0.902,     0.858,     0.374,     0.895,     0.644,     0.452,     0.923
     0.700,     0.700,     0.850,     1.500,     0.853,     0.825,     0.855,     0.839,     0.916,      0.89,     0.386,     0.949,     0.932,     0.139,     1.244
     0.700,     0.800,     0.600,     1.500,     0.973,     0.687,     0.819,      0.82,      0.81,     0.602,     0.506,     0.986,     0.493,     0.387,     1.235
     0.700,     0.850,     0.900,     1.500,     0.895,     0.983,     0.875,     0.778,     0.799,     0.871,     0.284,     0.577,     0.696,     0.213,     1.537
     0.700,     0.950,     0.650,     1.500,      0.94,     0.803,     0.877,     0.836,     0.823,     0.796,     0.388,     0.615,      0.77,     0.307,     1.213
     0.750,     0.650,     0.800,     1.400,     0.889,     0.993,     0.929,     0.818,     0.854,     0.813,      0.32,      0.91,     0.852,     0.211,     1.222
