# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE,stotal
     0.600,     0.650,     0.850,     1.350,     0.937,     0.955,     0.889,     0.772,      0.81,     0.813,     0.451,     0.899,     0.981,     0.281,      0.97,    0.1886
     0.600,     0.650,     0.850,     1.450,     0.964,     0.745,     0.872,     0.793,     0.787,     0.818,     0.632,     0.804,     0.902,     0.442,     0.699,    0.2172
     0.600,     0.650,     0.900,     1.350,     0.776,     0.966,     0.739,     0.845,     0.863,     0.855,     0.555,     0.982,     0.888,       0.0,     1.394,    0.1496
     0.600,     0.650,     1.000,     1.550,     0.939,     0.681,     0.872,     0.844,     0.887,     0.848,      0.61,     0.988,     0.732,     0.185,      1.07,    0.2016
     0.600,     0.750,     0.650,     1.300,     0.946,     0.893,     0.884,     0.749,     0.742,     0.608,     0.559,     0.808,     0.508,     0.285,     1.296,     0.305
     0.600,     0.750,     0.850,     1.350,     0.954,     0.963,     0.928,     0.777,     0.897,     0.868,      0.46,     0.951,      0.95,     0.374,     0.775,    0.1622
     0.600,     0.750,     0.850,     1.550,     0.829,     0.706,     0.802,     0.834,     0.885,     0.877,     0.525,     0.812,      0.86,     0.083,     1.332,    0.2146
     0.600,     0.800,     0.700,     1.550,     0.929,     0.666,     0.787,      0.82,     0.848,     0.712,     0.527,     0.982,     0.675,     0.293,      1.13,    0.2531
     0.600,     0.850,     0.750,     1.400,     0.973,     0.984,     0.873,     0.761,     0.843,     0.828,     0.386,     0.773,     0.923,     0.313,     1.035,    0.2148
     0.600,     0.850,     0.950,     1.550,     0.928,     0.807,     0.921,     0.817,     0.857,     0.851,       0.5,     0.657,     0.744,     0.253,     1.116,    0.2527
     0.600,     0.900,     0.650,     1.500,     0.821,     0.658,     0.718,     0.823,     0.835,     0.737,      0.57,     0.691,     0.753,     0.095,     1.517,    0.2764
     0.600,     0.950,     0.650,     1.350,     0.985,     0.872,     0.953,     0.804,     0.823,     0.797,     0.357,     0.576,     0.793,     0.519,     0.997,    0.2829
     0.650,     0.750,     0.750,     1.350,     0.856,     0.939,     0.801,     0.805,     0.854,     0.796,     0.418,     0.885,     0.802,      0.17,     1.245,    0.2146
     0.650,     0.950,     0.800,     1.550,     0.992,     0.781,     0.931,       0.8,     0.804,      0.92,     0.328,     0.556,     0.995,     0.468,     1.069,    0.2597
     0.700,     0.600,     0.800,     1.400,     0.841,     0.901,     0.696,     0.814,     0.714,     0.721,     0.372,     0.712,     0.741,      0.11,     1.658,    0.2896
     0.700,     0.750,     0.700,     1.450,     0.822,     0.825,     0.742,     0.835,     0.834,     0.737,     0.364,     0.836,     0.687,     0.005,     1.772,    0.2691
     0.750,     0.650,     0.850,     1.500,     0.887,     0.892,     0.818,     0.801,     0.873,     0.868,     0.341,     0.973,     0.978,     0.145,     1.297,    0.1822
     0.750,     0.700,     0.850,     1.550,     0.943,     0.803,     0.917,     0.812,     0.908,     0.885,     0.278,     0.909,     0.949,      0.29,     1.142,    0.2082
     0.750,     0.800,     0.650,     1.300,      0.87,     0.704,     0.796,     0.806,     0.847,     0.756,     0.291,     0.738,     0.793,     0.191,     1.535,    0.2953
     0.750,     0.850,     0.700,     1.600,     0.774,     0.689,      0.86,     0.813,     0.871,     0.775,     0.359,     0.728,     0.763,     0.007,     1.797,    0.2863
