,hb,gra,grb,grc,gra_max,grb_max,grc_max
0,0.647,0.806,0.882,0.862,0.386,0.73,0.948
1,0.891,0.8,0.844,0.747,0.289,0.654,0.709
2,0.856,0.835,0.901,0.861,0.418,0.982,0.778
3,0.955,0.778,0.816,0.641,0.644,0.957,0.585
4,0.176,0.724,0.701,0.768,0.223,0.445,0.574
5,0.435,0.7,0.768,0.582,0.535,0.926,0.475
6,0.831,0.818,0.814,0.837,0.382,0.839,0.894
7,0.911,0.819,0.854,0.817,0.323,0.659,0.649
8,0.552,0.571,0.447,0.401,0.928,0.32,0.266
9,0.712,0.803,0.856,0.848,0.583,0.921,0.91
10,0.866,0.837,0.886,0.853,0.423,0.85,0.754
11,0.893,0.669,0.924,0.839,0.252,0.858,0.636
12,0.649,0.829,0.829,0.812,0.546,0.627,0.837
13,0.684,0.83,0.812,0.896,0.382,0.632,0.803
14,0.761,0.809,0.86,0.815,0.335,0.621,0.858
15,0.822,0.643,0.781,0.818,0.188,0.588,0.601
16,0.966,0.845,0.863,0.855,0.555,0.982,0.888
17,0.662,0.821,0.887,0.849,0.406,0.716,0.663
18,0.747,0.766,0.884,0.873,0.36,0.705,0.963
19,0.75,0.835,0.893,0.871,0.383,0.932,0.936
20,0.932,0.769,0.823,0.697,0.505,0.96,0.676
21,0.993,0.818,0.854,0.813,0.32,0.91,0.852
22,0.706,0.834,0.885,0.877,0.525,0.812,0.86
23,0.969,0.797,0.772,0.817,0.401,0.823,0.993
24,0.237,0.783,0.862,0.881,0.231,0.59,0.858
25,0.727,0.821,0.794,0.915,0.426,0.545,0.826
26,0.175,0.634,0.681,0.782,0.183,0.406,0.613
27,0.719,0.826,0.874,0.76,0.374,0.976,0.697
28,0.824,0.785,0.859,0.81,0.282,0.778,0.788
29,0.668,0.805,0.854,0.818,0.562,0.97,0.949
30,0.714,0.843,0.845,0.834,0.482,0.709,0.703
31,0.958,0.788,0.854,0.855,0.42,0.853,0.822
32,0.748,0.776,0.736,0.641,0.662,0.787,0.557
33,0.64,0.847,0.869,0.882,0.525,0.776,0.931
34,0.771,0.816,0.81,0.907,0.302,0.505,0.867
35,0.951,0.809,0.838,0.769,0.41,0.976,0.735
36,0.208,0.773,0.835,0.794,0.239,0.565,0.617
37,0.925,0.781,0.854,0.666,0.42,0.763,0.554
38,0.8,0.825,0.847,0.886,0.324,0.556,0.855
39,0.889,0.851,0.881,0.84,0.508,0.899,0.878
40,0.957,0.809,0.893,0.872,0.339,0.882,0.885
41,0.601,0.812,0.714,0.727,0.661,0.656,0.753
42,0.756,0.85,0.861,0.84,0.422,0.752,0.628
43,0.666,0.82,0.848,0.712,0.527,0.982,0.675
44,0.716,0.773,0.856,0.675,0.368,0.892,0.661
